,$\Delta t$,$t_{	ext{max}}$,$\mathcal{J}_q$,$\mathcal{J}_2$,$\beta_0$,$\mathcal{E}_0$,$\beta_f$,$\mathcal{E}_f$,$\Delta \mathcal{E}(t)_{	ext{max}}$,"$\text{Rel,Err}(\mathcal{E}_f)$",$\gamma$,$B_{\mathcal{K}}$,$C_{\mathcal{K}}$,$	ext{MSE}_{\mathcal{K}}$,$\mathcal{V}(t_f)$,$\mathcal{V}_{\text{EQ}}(\beta)$,"$\text{Rel,Err}(\mathcal{V}(t_f))$"
1,0.06,1740.0,1.0,0.004,1.9938539687925645,-0.6726068688320095,1.7999366244162776,-0.6783320802381927,0.000632321718856,0.008511972849942954,3.58111162271542e-05,-0.6594318075247324,0.6594486002640089,6.548276424416142e-14,-0.6385587309606995,-0.638539174655042,3.062569613308533e-05
2,0.06,1740.0,1.0,0.005,1.9938539687925645,-0.6726068688320095,1.689234889926618,-0.6779174328715926,0.0006323214726723,0.007895494806356854,5.927678118023957e-05,-0.6223103208123466,0.6223351658899613,4.342944175110254e-13,-0.6169917388852203,-0.6168697818272916,0.0001976640046252079
3,0.06,1740.0,1.0,0.006,1.9938539687925645,-0.6726068688320095,1.571864376250834,-0.6774763085014885,0.0006323211717734,0.007239652009404697,8.724612566599071e-05,-0.6085178983524061,0.6085497119955315,5.06788543336686e-12,-0.5918235200379793,-0.591924759512746,0.0001710636217367709
4,0.06,1740.0,1.0,0.007,1.9938539687925645,-0.6726068688320095,1.4504925950633756,-0.6770335354588678,0.0006323208161528,0.006581358044328739,0.0001194376754016,-0.6044946443415613,0.6045294477201735,3.5833916034263656e-11,-0.5636417996041613,-0.5637985482052875,0.0002780996747159754
5,0.06,1740.0,1.0,0.008,1.9938539687925645,-0.6726068688320095,1.3291208138759174,-0.6766095706596948,0.0006323204058056,0.005951027283792248,0.0001556045211516,-0.6052794524827068,0.6053095835039025,1.69055042363001e-10,-0.5330535299570937,-0.5330876597876788,6.402702292938054e-05
6,0.06,1740.0,1.0,0.009,1.9938539687925645,-0.6726068688320095,1.2117503002001335,-0.6762194327880973,0.0006323199407238,0.00537098879522453,0.0001955446990712,-0.6086011464431849,0.6086148031580462,6.004128979880114e-10,-0.5006631427036784,-0.5007260574818261,0.00012566289143620674
7,0.06,1740.0,1.0,0.01,1.9938539687925645,-0.6726068688320095,1.0997148098732488,-0.6758725583895261,0.0006323194209,0.004855272386955424,0.0002391044736529,-0.6132566474350942,0.6132378384307925,1.7298742424191156e-09,-0.4670555369961772,-0.4672177743935851,0.0003473621112626308
8,0.06,1740.0,1.0,0.02,1.9938539687925645,-0.6726068688320095,0.3288039359573049,-0.6745135140357318,0.000632311209433,0.0028347096826905967,0.0008659896413229,-0.6573305183092806,0.6557202169547252,2.875874203997032e-07,-0.1615231047090516,-0.1615309714080227,4.870324270492828e-05
9,0.06,1740.0,1.0,0.03,1.9938539687925645,-0.6726068688320095,0.0567177451634423,-0.6743890169217401,0.000632297508087,0.0026496132768096376,0.0018682806061289,-0.6705647372755651,0.6665986258991689,9.844431831301624e-07,-0.0283837088009725,-0.0283436689495721,0.0014106631265547777
10,0.06,1740.0,1.0,0.04,1.9938539687925645,-0.6726068688320095,0.0047012675116744,-0.6742865486080313,0.0006322782935115,0.0024972682466632814,0.0032793932827666,-0.6731717681806979,0.6682892547380551,1.0600113251656652e-06,-0.0024998001766201,-0.0023506250831221,0.05967480716786518
11,0.06,1740.0,1.0,0.05,1.9938539687925645,-0.6726068688320095,0.0002197031354236,-0.6742112703217275,0.000632253533017,0.0023853480600101954,0.0051042408406113,-0.6737373210321521,0.6691374855506577,8.26350941237335e-07,-0.0001101747672392,-0.0001098515668258,0.0029335248124308833
12,0.06,1740.0,1.0,0.06,1.9938539687925645,-0.6726068688320095,5.000667111407604e-06,-0.6741678768239876,0.0006322231845751,0.0023208326651329393,0.0073389398152816,-0.6739013271475517,0.6701422719564168,6.124040578289486e-07,-2.4323183223909093e-06,-2.5003335556933438e-06,0.027963129939167337
13,0.06,1740.0,1.0,0.07,1.9938539687925645,-0.6726068688320095,1e-06,-0.6741427446133983,0.00063218719682,0.0022834672861070764,0.0099800860966096,-0.6739676630609664,0.6713385363575304,4.609733000636193e-07,-2.6934303412774103e-08,-4.999999999999162e-07,17.563687812426654
